epic,side,size,entry_price,exit_price,entry_time,exit_time,pnl,fees,return_pct
EURUSD,BUY,1731.4443275719523,1.155175,1.158319815329642,2026-06-11T17:45:00+00:00,2026-06-11T19:30:00+00:00,5.4451,0.0,0.002722
GBPUSD,BUY,1493.7802723908328,1.338955,1.3428085415387243,2026-06-11T17:45:00+00:00,2026-06-11T19:30:00+00:00,5.7563,0.0,0.002878
EURUSD,SELL,1732.3939411546735,1.155695,1.1568051332617166,2026-06-12T05:45:00+00:00,2026-06-12T06:00:00+00:00,-1.9232,0.0,-0.000961
GBPUSD,SELL,1494.655332486288,1.3395299999999999,1.340901808743731,2026-06-12T05:45:00+00:00,2026-06-12T06:00:00+00:00,-2.0504,0.0,-0.001024
EURUSD,BUY,1728.9239343660886,1.157695,1.1561789731231014,2026-06-12T08:15:00+00:00,2026-06-12T12:15:00+00:00,-2.6211,0.0,-0.00131
GBPUSD,BUY,1492.1184106404714,1.341415,1.339518926853059,2026-06-12T08:45:00+00:00,2026-06-12T12:15:00+00:00,-2.8292,0.0,-0.001413
EURUSD,SELL,1730.338899376667,1.156095,1.1576099670845594,2026-06-12T12:15:00+00:00,2026-06-12T13:15:00+00:00,-2.6214,0.0,-0.00131
GBPUSD,SELL,1493.9230671958644,1.338925,1.3407795963655766,2026-06-12T12:15:00+00:00,2026-06-12T13:15:00+00:00,-2.7706,0.0,-0.001385
EURUSD,BUY,1726.8866460858608,1.157805,1.1568749999999999,2026-06-12T15:00:00+00:00,2026-06-12T20:00:00+00:00,-1.606,0.0,-0.000803
GBPUSD,BUY,1489.5848697207068,1.342345,1.3401621650777669,2026-06-12T15:15:00+00:00,2026-06-12T20:30:00+00:00,-3.2515,0.0,-0.001626
EURUSD,SELL,1727.4714635631694,1.1568749999999999,1.1579897853072871,2026-06-12T20:00:00+00:00,2026-06-14T21:15:00+00:00,-1.9258,0.0,-0.000964
GBPUSD,SELL,1491.06372870393,1.340155,1.3415172962995154,2026-06-12T20:30:00+00:00,2026-06-14T21:15:00+00:00,-2.0313,0.0,-0.001017
EURUSD,BUY,1722.9663346032423,1.159535,1.1611897409778067,2026-06-14T21:15:00+00:00,2026-06-14T22:00:00+00:00,2.8511,0.0,0.001427
GBPUSD,BUY,1488.4126562733982,1.34217,1.3443350018720246,2026-06-14T21:30:00+00:00,2026-06-14T22:00:00+00:00,3.2224,0.0,0.001613
GBPUSD,SELL,1487.708474144688,1.3434249999999999,1.343495,2026-06-15T07:30:00+00:00,2026-06-15T14:15:00+00:00,-0.1041,0.0,-5.2e-05
GBPUSD,BUY,1487.770488529229,1.343495,1.342975,2026-06-15T14:15:00+00:00,2026-06-15T16:00:00+00:00,-0.7736,0.0,-0.000387
GBPUSD,SELL,1488.0685345954196,1.342975,1.343405,2026-06-15T16:00:00+00:00,2026-06-15T16:15:00+00:00,-0.6399,0.0,-0.00032
GBPUSD,BUY,1487.5981668911033,1.343405,1.3425449999999999,2026-06-15T16:15:00+00:00,2026-06-15T16:30:00+00:00,-1.2793,0.0,-0.00064
EURUSD,SELL,1722.5626445173664,1.1602649999999999,1.1587289603282012,2026-06-15T15:15:00+00:00,2026-06-15T19:45:00+00:00,2.6459,0.0,0.001324
GBPUSD,SELL,1488.359301924451,1.3425449999999999,1.340621199500063,2026-06-15T16:30:00+00:00,2026-06-16T01:45:00+00:00,2.8633,0.0,0.001433
EURUSD,BUY,1724.5281444892414,1.159385,1.160501235087702,2026-06-16T07:30:00+00:00,2026-06-16T08:45:00+00:00,1.925,0.0,0.000963
GBPUSD,BUY,1490.230116303332,1.341695,1.340995,2026-06-16T07:45:00+00:00,2026-06-16T13:45:00+00:00,-1.0432,0.0,-0.000522
EURUSD,SELL,1724.9144544196558,1.159015,1.160302368828017,2026-06-16T14:15:00+00:00,2026-06-16T14:45:00+00:00,-2.2206,0.0,-0.001111
GBPUSD,SELL,1490.9401925911006,1.340995,1.3424504708742284,2026-06-16T13:45:00+00:00,2026-06-16T14:45:00+00:00,-2.17,0.0,-0.001085
GBPUSD,BUY,1488.40971372451,1.342825,1.3411677607340993,2026-06-16T14:45:00+00:00,2026-06-17T06:00:00+00:00,-2.4667,0.0,-0.001234
EURUSD,BUY,1722.157752939886,1.1607750000000001,1.160555,2026-06-16T14:45:00+00:00,2026-06-17T06:15:00+00:00,-0.3789,0.0,-0.00019
EURUSD,SELL,1721.4866817505729,1.160555,1.1613270513987668,2026-06-17T06:15:00+00:00,2026-06-17T07:00:00+00:00,-1.3291,0.0,-0.000665
GBPUSD,SELL,1488.785429062989,1.342105,1.3405559147856776,2026-06-17T06:00:00+00:00,2026-06-17T11:30:00+00:00,2.3063,0.0,0.001154
EURUSD,BUY,1734.1160527696966,1.152355,1.1512596027590465,2026-06-18T04:15:00+00:00,2026-06-18T05:45:00+00:00,-1.8995,0.0,-0.000951
EURUSD,SELL,1735.60889314579,1.151005,1.1520466895013464,2026-06-18T05:45:00+00:00,2026-06-18T06:00:00+00:00,-1.808,0.0,-0.000905
EURUSD,BUY,1732.8108729881833,1.152795,1.1515965024197574,2026-06-18T06:15:00+00:00,2026-06-18T07:00:00+00:00,-2.0768,0.0,-0.00104
GBPUSD,BUY,1499.089578605724,1.332515,1.330946034720863,2026-06-18T06:15:00+00:00,2026-06-18T07:00:00+00:00,-2.352,0.0,-0.001177
GBPUSD,SELL,1500.936807762516,1.330145,1.3277978880913281,2026-06-18T07:00:00+00:00,2026-06-18T08:15:00+00:00,3.5229,0.0,0.001765
EURUSD,SELL,1734.3194564794694,1.151195,1.1495270521954486,2026-06-18T07:00:00+00:00,2026-06-18T08:30:00+00:00,2.8928,0.0,0.001449
GBPUSD,BUY,1513.220285272209,1.320335,1.322816683800783,2026-06-19T08:00:00+00:00,2026-06-19T08:30:00+00:00,3.7553,0.0,0.00188
EURUSD,BUY,1743.6228502536758,1.145875,1.1476773798139703,2026-06-19T08:15:00+00:00,2026-06-19T18:15:00+00:00,3.1427,0.0,0.001573
GBPUSD,SELL,1515.1661115851723,1.31941,1.3217001977202258,2026-06-21T21:00:00+00:00,2026-06-22T00:15:00+00:00,-3.47,0.0,-0.001736
GBPUSD,BUY,1511.0556765541705,1.322575,1.3207105186873804,2026-06-22T01:30:00+00:00,2026-06-22T04:00:00+00:00,-2.8173,0.0,-0.00141
EURUSD,SELL,1743.8175629274158,1.14632,1.1446207403814335,2026-06-21T22:00:00+00:00,2026-06-22T07:30:00+00:00,2.9632,0.0,0.001482
GBPUSD,SELL,1513.0670249706616,1.320595,1.318520905287497,2026-06-22T04:00:00+00:00,2026-06-22T08:15:00+00:00,3.1382,0.0,0.001571
GBPUSD,BUY,1511.478024852548,1.322745,1.3259173646572078,2026-06-22T09:30:00+00:00,2026-06-22T12:30:00+00:00,4.795,0.0,0.002398
EURUSD,BUY,1745.2022636603851,1.146165,1.1447813122301589,2026-06-22T12:30:00+00:00,2026-06-22T13:00:00+00:00,-2.4148,0.0,-0.001207
EURUSD,SELL,1747.222746833254,1.144415,1.14240507729768,2026-06-22T13:00:00+00:00,2026-06-22T18:45:00+00:00,3.5118,0.0,0.001756
EURUSD,BUY,1748.7835676801824,1.14386,1.1426869903349282,2026-06-23T07:15:00+00:00,2026-06-23T07:30:00+00:00,-2.0513,0.0,-0.001025
GBPUSD,SELL,1510.6329369484333,1.324125,1.3227693979458823,2026-06-23T00:15:00+00:00,2026-06-23T07:30:00+00:00,2.0478,0.0,0.001024
EURUSD,SELL,1751.7104425404714,1.141535,1.139690807966507,2026-06-23T07:30:00+00:00,2026-06-23T10:45:00+00:00,3.2305,0.0,0.001616
GBPUSD,BUY,1515.3716644312085,1.32055,1.319505,2026-06-23T21:00:00+00:00,2026-06-24T00:15:00+00:00,-1.5836,0.0,-0.000791
GBPUSD,SELL,1516.1709359227445,1.319505,1.3205039283326108,2026-06-24T00:15:00+00:00,2026-06-24T02:15:00+00:00,-1.5145,0.0,-0.000757
GBPUSD,BUY,1515.126168629698,1.320355,1.319286441620822,2026-06-24T02:15:00+00:00,2026-06-24T02:45:00+00:00,-1.619,0.0,-0.000809
GBPUSD,SELL,1516.2590381944003,1.319015,1.3201522773779648,2026-06-24T02:45:00+00:00,2026-06-24T03:30:00+00:00,-1.7244,0.0,-0.000862
GBPUSD,BUY,1514.057785751552,1.320845,1.3195981931987717,2026-06-24T06:00:00+00:00,2026-06-24T06:15:00+00:00,-1.8877,0.0,-0.000944
GBPUSD,SELL,1515.4815862130322,1.319215,1.3174405190982892,2026-06-24T06:15:00+00:00,2026-06-24T08:00:00+00:00,2.6892,0.0,0.001345
